shift,scale,sigma,kernel_mode,k_vel,bump_final_abs_drift,darkness_final_abs_pi_error,darkness_rms_pi_error,velocity_gain,velocity_gain_intercept
0.15,0.05,0.35,signed,0.3183098861837907,1.398333200750101,2.1609054216099732,0.318526521477585,0.018287312421431667,0.5909528336731996
0.15,0.1,0.35,signed,0.3183098861837907,1.3987654239740346,2.1284006212465276,0.2763942687244935,0.09995042274047858,0.5275707381152659
0.15,0.2,0.35,signed,0.3183098861837907,1.4025046109727173,2.078525003653163,0.21502323428404288,0.506384505019548,0.2290004110266185
0.15,0.4,0.35,signed,0.3183098861837907,1.4092682397023681,2.002959546989959,0.15999342382006512,0.6862175907661714,-0.047820995374399045
0.15,0.8,0.35,signed,0.3183098861837907,1.4300009080760088,1.8793469455671765,0.19724706318978688,0.6383728112378216,-0.07627236911177351
0.15,1.5,0.35,signed,0.3183098861837907,1.4762780386744208,1.6562305671031508,0.3347983690017369,0.7370712534768078,-0.03450326527889916
0.15,3.0,0.35,signed,0.3183098861837907,0.24531340479955466,0.4788187261274861,0.699236807678234,0.8408156771409703,-0.28535606259931207
0.3,0.05,0.35,signed,0.3183098861837907,1.3993818902884572,2.127480865362231,0.2726325768746746,0.10449219392162692,0.5222730897567581
0.3,0.1,0.35,signed,0.3183098861837907,1.4033669636826138,2.0776561303261953,0.20967317752800918,0.5081490879314507,0.21947299897021522
0.3,0.2,0.35,signed,0.3183098861837907,1.4099862290688652,2.0027622383127985,0.15589497706094285,0.6797074708195249,-0.05623415309953493
0.3,0.4,0.35,signed,0.3183098861837907,1.4266692681575446,1.8804549649466258,0.2005900222951406,0.6171719431663376,-0.0773722739145756
0.3,0.8,0.35,signed,0.3183098861837907,1.4716385999220432,1.625279655833559,0.3611282760429395,0.7352531853617589,-0.0301231096370545
0.3,1.5,0.35,signed,0.3183098861837907,1.4494133066719854,0.6098249706155614,0.6837287391316118,0.9768520725266683,-0.49684660198158936
0.3,3.0,0.35,signed,0.3183098861837907,0.07747916333825078,2.7485238399654186,1.9543029976523245,2.3899423102987343,-1.4961565028017596
0.5,0.05,0.35,signed,0.3183098861837907,1.4037628211374686,2.0903989504505756,0.21968044830598904,0.44456824889863017,0.26922784801386224
0.5,0.1,0.35,signed,0.3183098861837907,1.4078623525470295,2.0249735583582513,0.15716763962050825,0.6505805773621158,-0.020307453896513755
0.5,0.2,0.35,signed,0.3183098861837907,1.42034078478867,1.9217893385245943,0.18123173413847982,0.6054796711874818,-0.08809879635051604
0.5,0.4,0.35,signed,0.3183098861837907,1.4458909787848597,1.725557892798921,0.3245777565290106,0.5770474873651252,-0.045890336927077696
0.5,0.8,0.35,signed,0.3183098861837907,1.496105040805924,1.0582174391393036,0.6125947370505225,1.5003009333536816,-0.022024981320968418
0.5,1.5,0.35,signed,0.3183098861837907,0.393250220350176,1.8874950852831658,1.6598136082333326,2.909976041456805,-1.291566887113843
0.5,3.0,0.35,signed,0.3183098861837907,0.3915974033555214,2.7509995759926245,1.9529680399809481,-0.014715269241915963,0.007909568427930115
0.8,0.05,0.35,signed,0.3183098861837907,1.4071551489436098,2.0499696135790035,0.16426854187700632,0.5949825417832477,0.053602904061887544
0.8,0.1,0.35,signed,0.3183098861837907,1.4156612321183326,1.967029872999421,0.16115918001594656,0.5988208852378836,-0.097313627374724
0.8,0.2,0.35,signed,0.3183098861837907,1.4312112729854132,1.822262020252724,0.2888110759540798,0.48835409619426307,-0.06474830645490622
0.8,0.4,0.35,signed,0.3183098861837907,1.4574216324396403,1.4698078506256822,0.5190138153995916,0.9181229435145781,-0.00743125536631567
0.8,0.8,0.35,signed,0.3183098861837907,1.4980793474485665,1.3449366202637583,1.5282304379880483,2.187523728414041,0.018778292129834062
0.8,1.5,0.35,signed,0.3183098861837907,1.531239546477261,1.1825280643993454,1.6971557302958904,0.857879436996701,-0.0435680247861161
0.8,3.0,0.35,signed,0.3183098861837907,0.34169547899314345,1.0831912551124825,2.196595132821975,0.7600829750162784,-0.9759091624026772
