shift,scale,sigma,bump_final_abs_drift,darkness_final_abs_pi_error,darkness_rms_pi_error,velocity_gain,velocity_gain_intercept
0.15,0.05,0.35,0.003314261296367693,2.686454669331223,1.9864869957478195,2.6158462322086957e-17,-3.354176650802529e-17
0.15,0.1,0.35,0.0033153267939338704,2.6864582614473296,1.9864851681850166,-2.434432604273266e-16,-1.336937773022333e-16
0.15,0.2,0.35,0.003315726497044036,2.686482187852846,1.9864730996224405,1.0535818682275437e-18,-3.950932005853287e-18
0.15,0.4,0.35,0.0033157634795566437,2.6864992011738487,1.9864645321160974,2.304710336747751e-19,-3.7039987554874567e-19
0.3,0.05,0.35,0.003314295077553542,2.6864142123826245,1.9865074032391006,6.025171308926261e-17,-7.766050724005368e-17
0.3,0.1,0.35,0.0033153458457761964,2.6864199325724254,1.9865044877553502,1.957192942399571e-16,-1.9921339973263376e-16
0.3,0.2,0.35,0.003315729538790446,2.6864650516063486,1.9864817288163807,-3.0425468888408496e-16,-1.409412682004705e-15
0.3,0.4,0.35,0.0033157629118059084,2.6864974930374768,1.9864653919951427,9.877330014633226e-20,-3.9097764641256493e-19
0.5,0.05,0.35,0.0033143526720418315,2.6863704926568754,1.9865294572817669,-1.015883392005026e-16,1.2628577979125845e-16
0.5,0.1,0.35,0.003315378320184248,2.6863785320704814,1.9865253562675602,-1.3726196277001952e-16,-1.2478360251819966e-16
0.5,0.2,0.35,0.003315734720822139,2.686446544346861,1.9864910486678484,2.601030237186746e-18,-4.3624874231296706e-18
0.5,0.4,0.35,0.003315762905954145,2.686495648098857,1.9864663209578397,3.7863098389427327e-19,-2.0577770863819202e-19
0.8,0.05,0.35,0.0033144036701791,2.6863347790005108,1.986547473414369,6.672136424884738e-17,-3.008264322581729e-16
0.8,0.1,0.35,0.0033154070336558483,2.6863447690622326,1.9865423757749197,-4.787871102426539e-16,-1.81763450040115e-16
0.8,0.2,0.35,0.0033157393033600435,2.6864314620527026,1.9864986443798711,-6.177446813318522e-16,-2.6115249003272935e-16
0.8,0.4,0.35,0.0033157631744864524,2.686494144547467,1.9864670787920058,-8.461579379202452e-18,-5.597153674958824e-18
