shift,scale,sigma,bump_final_abs_drift,darkness_final_abs_pi_error,darkness_rms_pi_error,velocity_gain,velocity_gain_intercept
0.15,0.05,0.35,0.013347638994183342,2.669952407255126,1.9947161570995466,1.7620310999227561e-16,7.236647878006073e-17
0.15,0.1,0.35,0.013074141596446154,2.6684503352009585,1.9954627456173357,1.0321696455423052e-14,1.2651614740049113e-15
0.15,0.2,0.35,0.007627968240687011,2.6627123093336422,1.9983032886571115,6.410966611000847e-12,-9.537555668794391e-15
0.15,0.4,0.35,0.005119913770734286,2.66564372333651,1.996927882478461,1.0065894214787531e-11,-1.6788546906505039e-13
0.15,0.8,0.35,0.005010132097442721,2.6776756083460773,1.990878968815543,-3.923807262431251e-15,-2.9763001811081518e-15
0.15,1.5,0.35,0.00500952433730717,2.678174493756769,1.990631059210681,0.0,0.0
0.15,3.0,0.35,nan,nan,nan,0.0,0.0
0.3,0.05,0.35,0.013236834075811998,2.6695361226538337,1.99492234958006,2.354301088249381e-16,3.5936344042181553e-17
0.3,0.1,0.35,0.012572646693698175,2.6664988575829467,1.996427163848644,1.5214681239555763e-14,-3.401636963126251e-17
0.3,0.2,0.35,0.0073826844241171585,2.65375543984136,2.0027048065450703,7.227613850585494e-12,-3.7405821873275654e-13
0.3,0.4,0.35,0.0051040790160783445,2.655121093236975,2.002206666645645,1.2408542372449515e-11,-7.773745955663447e-14
0.3,0.8,0.35,0.005010094869451365,2.6772269901099497,1.9911025266164095,-2.4718046840580453e-15,-6.184583231055045e-16
0.3,1.5,0.35,0.00500952433730717,2.678173725722938,1.9906318240197813,0.0,0.0
0.3,3.0,0.35,nan,nan,nan,0.0,0.0
0.5,0.05,0.35,0.013048712076118463,2.669015935878413,1.9951797510733253,2.341125590627708e-16,3.100715103865894e-17
0.5,0.1,0.35,0.011915378505326757,2.664055661264767,1.9976293907686167,1.2434662859987416e-14,-6.369057625665372e-16
0.5,0.2,0.35,0.0070546658980887855,2.6425284015849924,2.008168239460597,1.2676546011521402e-12,-3.173193440761786e-13
0.5,0.4,0.35,0.005081954820205681,2.641784031985237,2.0088330253900186,5.127138332924516e-12,-3.5983546643027756e-14
0.5,0.8,0.35,0.00501004248727277,2.6766516493849437,1.991389168211318,1.594590741523308e-15,2.41354435312849e-15
0.5,1.5,0.35,0.00500952433730717,2.678172740466251,1.9906327946756788,0.0,0.0
0.5,3.0,0.35,nan,nan,nan,0.0,0.0
0.8,0.05,0.35,0.01282902005372577,2.6683494921470743,1.9955093345978858,2.881181569861036e-17,1.3535674364416802e-18
0.8,0.1,0.35,0.011598504885492744,2.6609117717540256,1.9991731301189848,1.1272161052548266e-15,-2.1665212006290327e-16
0.8,0.2,0.35,0.006959956704911008,2.628035576575246,2.0151145277047053,-3.255830430234681e-12,3.0259551925373595e-14
0.8,0.4,0.35,0.005074299621432132,2.6242533708550617,2.01735914868225,-1.7441133400830337e-12,-1.3436655986688517e-14
0.8,0.8,0.35,0.005010024395808443,2.675868972902009,1.991778650444604,-1.969841461881518e-16,2.672952938136503e-15
0.8,1.5,0.35,0.00500952433730717,2.678171398687761,1.990634030509848,0.0,0.0
0.8,3.0,0.35,nan,nan,nan,0.0,0.0
