shift,scale,sigma,kernel_mode,k_vel,bump_final_abs_drift,darkness_final_abs_pi_error,darkness_rms_pi_error,velocity_gain,velocity_gain_intercept
0.15,0.05,0.35,signed,1.0,0.01247102075213391,2.6700810677830393,1.99464461412353,-2.6048911523624742e-18,-3.2561139404530923e-18
0.15,0.1,0.35,signed,1.0,0.01247102075213391,2.669448337380979,1.9949485642383666,-1.0410269725766115e-18,3.2444953358484347e-18
0.15,0.2,0.35,signed,1.0,0.01247102075213391,2.668184278054733,1.9955651328050508,-1.5073977614072547e-17,1.3361395295347178e-18
0.15,0.4,0.35,signed,1.0,0.01247102075213391,2.6656613261569113,1.9968224907269512,-6.784103228654964e-17,3.717953473487907e-18
0.15,0.8,0.35,signed,1.0,0.012471020752135686,2.6606326311886868,1.9994559297112195,-2.1892936656541455e-16,1.6565515980194441e-16
0.15,1.5,0.35,signed,1.0,0.01247102075213391,2.651867658699497,2.004349435926876,-4.801093240314534e-15,2.8285318630950657e-15
0.15,3.0,0.35,signed,1.0,0.012471020752135686,2.633077233297679,2.0155231896937473,-1.6508230450191214e-13,7.755014246163439e-14
0.3,0.05,0.35,signed,1.0,0.01247102075213391,2.6694637719684104,1.994941100971008,5.228372072092373e-19,6.535465090115465e-19
0.3,0.1,0.35,signed,1.0,0.01247102075213391,2.6682145289499033,1.9955502397130294,-8.086548804836271e-19,-7.825130201231572e-18
0.3,0.2,0.35,signed,1.0,0.01247102075213391,2.665719437920158,1.99679311048733,-1.0445125539580104e-17,3.5968295204844356e-17
0.3,0.4,0.35,signed,1.0,0.012471020752135686,2.660739939802477,1.9993980760801147,-1.0987714374617222e-16,2.237917525924604e-16
0.3,0.8,0.35,signed,1.0,0.01247102075213391,2.650801127884007,2.004960565034538,-6.199329564019263e-15,4.189767578575825e-15
0.3,1.5,0.35,signed,1.0,0.012471020752135686,2.6333460814843503,2.0153291284179904,-1.8906707564496303e-13,8.994343205155488e-14
0.3,3.0,0.35,signed,1.0,0.012471020752135686,2.594738618950146,2.039976668127105,-5.030667749021518e-12,7.021063888215637e-12
0.5,0.05,0.35,signed,1.0,0.01247102075213391,2.668690140669086,1.995316877671707,7.751932992222314e-18,6.422183695220107e-18
0.5,0.1,0.35,signed,1.0,0.01247102075213391,2.666666843529134,1.9963168987220063,5.070359049469116e-18,1.7616709231800112e-17
0.5,0.2,0.35,signed,1.0,0.01247102075213391,2.662621627250764,1.9983964172358903,4.2091880761724975e-17,1.3268736923625085e-16
0.5,0.4,0.35,signed,1.0,0.01247102075213391,2.6545286517996276,2.0028257799970732,-1.331780229087052e-15,1.5725723239370358e-15
0.5,0.8,0.35,signed,1.0,0.012471020752135686,2.6382701686175993,2.012328533234368,-8.710862672290353e-14,3.464877608919657e-14
0.5,1.5,0.35,signed,1.0,0.012471020752135686,2.6092421124528764,2.0301717471772376,-1.941829554577848e-12,1.270421611341993e-12
0.5,3.0,0.35,signed,1.0,0.01247102075213391,2.542289241483995,2.0871394017169367,-5.307580137217078e-10,3.0857568141211453e-10
0.8,0.05,0.35,signed,1.0,0.01247102075213391,2.66769768939992,1.9958058205995746,-8.67677391875242e-18,-6.8840232282549455e-18
0.8,0.1,0.35,signed,1.0,0.01247102075213391,2.6646787054998757,1.9973245789912886,2.4317739437531852e-17,4.19547812273901e-17
0.8,0.2,0.35,signed,1.0,0.01247102075213391,2.6586329136033617,2.000540653574477,1.1562602930455309e-16,2.7847471516424435e-16
0.8,0.4,0.35,signed,1.0,0.01247102075213391,2.646505546274896,2.0074492408749194,-1.3668265880165175e-14,2.6432035010462988e-15
0.8,0.8,0.35,signed,1.0,0.012471020752135686,2.6220749343793024,2.022120449156122,-2.807377614082078e-13,5.875993092755543e-14
0.8,1.5,0.35,signed,1.0,0.01247102075213391,2.5786104232557756,2.051459755440713,-1.3670495339346949e-11,1.8452315005129326e-12
0.8,3.0,0.35,signed,1.0,0.01247102075213391,2.4821654084684637,2.1272756101342183,-2.2541559484895487e-09,2.6717821430916384e-10
