shift,scale,sigma,kernel_mode,k_vel,bump_final_abs_drift,darkness_final_abs_pi_error,darkness_rms_pi_error,velocity_gain,velocity_gain_intercept
0.15,0.05,0.35,signed,4.0,0.01247102075213391,2.670661099569987,1.9943685554439337,0.0,0.0
0.15,0.1,0.35,signed,4.0,0.01247102075213391,2.6706079162492786,1.9943935871320557,-1.045674414418469e-18,-6.535465090115431e-19
0.15,0.2,0.35,signed,4.0,0.01247102075213391,2.670501560180705,1.9944437358408253,2.089025107916036e-18,6.506418578603667e-19
0.15,0.4,0.35,signed,4.0,0.01247102075213391,2.6702888900719746,1.9945443748524294,0.0,0.0
0.15,0.8,0.35,signed,4.0,0.012471020752135686,2.6698637158670406,1.994747020785397,-6.743438112538694e-18,8.347967408440825e-18
0.15,1.5,0.35,signed,4.0,0.01247102075213391,2.669120181142067,1.9951060425797007,-1.3354424132584385e-17,-4.969858119638908e-18
0.15,3.0,0.35,signed,4.0,0.012471020752135686,2.667529015039804,1.9958937759450528,2.0478952476155542e-17,7.900651131162169e-19
0.3,0.05,0.35,signed,4.0,0.01247102075213391,2.6706092363153946,1.9943929623608325,5.283529664961839e-32,-6.604412081202297e-32
0.3,0.1,0.35,signed,4.0,0.01247102075213391,2.67050419582766,1.9944424859211192,-1.045674414418469e-18,6.535465090115431e-19
0.3,0.2,0.35,signed,4.0,0.01247102075213391,2.670294143475094,1.9945418734531675,2.014666038446265e-18,-3.171879057069374e-18
0.3,0.4,0.35,signed,4.0,0.012471020752135686,2.669874151511763,1.9947420113704357,9.194963684119783e-18,1.2983790645696235e-18
0.3,0.8,0.35,signed,4.0,0.01247102075213391,2.6690346045818236,1.995147739464873,-8.23061950193386e-18,1.3826139479533148e-18
0.3,1.5,0.35,signed,4.0,0.012471020752135686,2.6675667165580803,1.9958750285776712,-2.037438503471374e-17,6.463429741566634e-17
0.3,3.0,0.35,signed,4.0,0.012471020752135686,2.6644261901708477,1.9974895942707525,-4.541503405074688e-16,4.293422959556209e-16
0.5,0.05,0.35,signed,4.0,0.01247102075213391,2.6705442899018683,1.994423558672939,0.0,0.0
0.5,0.1,0.35,signed,4.0,0.01247102075213391,2.670374301245907,1.994503872592018,0.0,0.0
0.5,0.2,0.35,signed,4.0,0.01247102075213391,2.6700343468455365,1.9946654233298535,-2.6095385942043163e-18,1.9577348758834692e-18
0.5,0.4,0.35,signed,4.0,0.01247102075213391,2.6693545248137074,1.994992216558157,3.0556930110228738e-18,7.694420899429271e-18
0.5,0.8,0.35,signed,4.0,0.012471020752135686,2.6679951888859126,1.9956605105419758,2.5091538504201507e-17,1.0247609261301049e-17
0.5,1.5,0.35,signed,4.0,0.012471020752135686,2.665617108494035,1.9968658678818074,1.6298578539402634e-17,7.92882624732809e-17
0.5,3.0,0.35,signed,4.0,0.01247102075213391,2.6605225033793705,1.9996190516283658,-7.612663102547273e-15,4.448031731030282e-15
0.8,0.05,0.35,signed,4.0,0.01247102075213391,2.67046108508341,1.9944628043070163,1.045674414418469e-18,6.535465090115431e-19
0.8,0.1,0.35,signed,4.0,0.01247102075213391,2.670207868083393,1.994582761123659,-2.0867013869950824e-18,-1.3041883668719263e-18
0.8,0.2,0.35,signed,4.0,0.01247102075213391,2.669701386711159,1.9948247891556972,4.122280913729711e-18,-3.845758124139053e-18
0.8,0.4,0.35,signed,4.0,0.01247102075213391,2.6686882316522613,1.9953172844080205,1.4300178547402864e-17,1.3564720875928576e-18
0.8,0.8,0.35,signed,4.0,0.012471020752135686,2.666661129755342,1.996330704456206,4.298883703720393e-17,1.0643222748089367e-16
0.8,1.5,0.35,signed,4.0,0.01247102075213391,2.6631110279551526,1.998195339859601,-9.002815201168084e-16,5.022054700825303e-16
0.8,3.0,0.35,signed,4.0,0.01247102075213391,2.6554910870863413,2.002511963018889,-3.4495585949344734e-14,7.58933352543137e-15
