file,identifier,session_description,session_start_time,subject,acquisition_keys,processing_keys,interval_keys,has_units,unit_columns,n_units
data\raw\dandi_000939\000939\sub-A1808\sub-A1808_behavior+ecephys+ogen.nwb,A1808,Open field and sleep recording,2019-08-07 00:00:00-04:00,"{'subject_id': 'A1808', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys', 'ogen']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",101
data\raw\dandi_000939\000939\sub-A1813\sub-A1813_behavior+ecephys+ogen.nwb,A1813,Open field and sleep recording,2019-04-08 00:00:00-04:00,"{'subject_id': 'A1813', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys', 'ogen']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",70
data\raw\dandi_000939\000939\sub-A1815\sub-A1815_behavior+ecephys+ogen.nwb,A1815,Open field and sleep recording,2019-05-23 00:00:00-04:00,"{'subject_id': 'A1815', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys', 'ogen']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",65
data\raw\dandi_000939\000939\sub-A1821\sub-A1821_behavior+ecephys+ogen.nwb,A1821,Open field and sleep recording,2019-09-10 00:00:00-04:00,"{'subject_id': 'A1821', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys', 'ogen']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",74
data\raw\dandi_000939\000939\sub-A1824\sub-A1824_behavior+ecephys+ogen.nwb,A1824,Open field and sleep recording,2019-08-27 00:00:00-04:00,"{'subject_id': 'A1824', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys', 'ogen']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",70
data\raw\dandi_000939\000939\sub-A3701\sub-A3701_behavior+ecephys.nwb,A3701,Open field and sleep recording,2019-11-19 00:00:00-05:00,"{'subject_id': 'A3701', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",102
data\raw\dandi_000939\000939\sub-A3702\sub-A3702_behavior+ecephys.nwb,A3702,Open field and sleep recording,2019-11-26 00:00:00-05:00,"{'subject_id': 'A3702', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",90
data\raw\dandi_000939\000939\sub-A3703\sub-A3703_behavior+ecephys.nwb,A3703,Open field and sleep recording,2019-12-15 00:00:00-05:00,"{'subject_id': 'A3703', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",103
data\raw\dandi_000939\000939\sub-A3705\sub-A3705_behavior+ecephys.nwb,A3705,Open field and sleep recording,2020-03-06 00:00:00-05:00,"{'subject_id': 'A3705', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",117
data\raw\dandi_000939\000939\sub-A3706\sub-A3706_behavior+ecephys.nwb,A3706,Open field and sleep recording,2020-03-13 00:00:00-04:00,"{'subject_id': 'A3706', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",126
data\raw\dandi_000939\000939\sub-A3707\sub-A3707_behavior+ecephys.nwb,A3707,Open field and sleep recording,2020-03-17 00:00:00-04:00,"{'subject_id': 'A3707', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",185
data\raw\dandi_000939\000939\sub-A3708\sub-A3708_behavior+ecephys.nwb,A3708,Open field and sleep recording,2020-03-17 00:00:00-04:00,"{'subject_id': 'A3708', 'species': 'Mus musculus', 'sex': 'M', 'age': 'P12W/'}",[],"['behavior', 'ecephys']","['epochs', 'nrem', 'rem']",True,"['electrode_index', 'trough_to_peak', 'is_excitatory', 'is_fast_spiking', 'is_head_direction', 'spike_times', 'electrode_group', 'waveform_mean']",78
